scientificName,eventDate,decimalLatitude,decimalLongitude,county,stateProvince,individualCount,basisOfRecord,occurrenceStatus
"Cephalophus harveyi (Thomas, 1893)",2009-10-25,-4.485225,39.263107,Kwale,Kenyan Coast,1,HUMAN_OBSERVATION,PRESENT
"Dendrohyrax arboreus (A.Smith, 1827)",2009-10-25,-4.485225,39.263107,Kwale,Kenyan Coast,1,HUMAN_OBSERVATION,PRESENT
"Colobus angolensis Sclater, 1860",2009-10-25,-4.485225,39.263107,Kwale,Kenyan Coast,1,HUMAN_OBSERVATION,PRESENT
"Sylvicapra grimmia (Linnaeus, 1758)",2009-10-25,-4.485225,39.263107,Kwale,Kenyan Coast,1,HUMAN_OBSERVATION,PRESENT
"Madoqua kirkii (Günther, 1880)",2009-10-25,-4.485225,39.263107,Kwale,Kenyan Coast,1,HUMAN_OBSERVATION,PRESENT
"Nesotragus moschatus Von Dueben, 1846",2009-10-25,-4.485225,39.263107,Kwale,Kenyan Coast,1,HUMAN_OBSERVATION,PRESENT
"Potamochoerus larvatus (F.Cuvier, 1822)",2009-10-25,-4.485225,39.263107,Kwale,Kenyan Coast,1,HUMAN_OBSERVATION,PRESENT
"Chlorocebus pygerythrus (F.Cuvier, 1821)",2009-10-25,-4.485225,39.263107,Kwale,Kenyan Coast,1,HUMAN_OBSERVATION,PRESENT
"Papio cynocephalus (Linnaeus, 1766)",2009-10-25,-4.485225,39.263107,Kwale,Kenyan Coast,1,HUMAN_OBSERVATION,PRESENT
"Otolemur crassicaudatus (É.Geoffroy Saint-Hilaire, 1812)",2009-10-25,-4.485225,39.263107,Kwale,Kenyan Coast,1,HUMAN_OBSERVATION,PRESENT
"Galago senegalensis É.Geoffroy Saint-Hilaire, 1796",2009-10-25,-4.485225,39.263107,Kwale,Kenyan Coast,1,HUMAN_OBSERVATION,PRESENT
"Cercopithecus mitis albogularis (Sykes, 1831)",2009-10-25,-4.485225,39.263107,Kwale,Kenyan Coast,1,HUMAN_OBSERVATION,PRESENT
"Herpestes sanguineus (Rüppell, 1835)",2009-10-25,-4.485225,39.263107,Kwale,Kenyan Coast,1,HUMAN_OBSERVATION,PRESENT
"Lepus capensis Linnaeus, 1758",2009-10-25,-4.485225,39.263107,Kwale,Kenyan Coast,1,HUMAN_OBSERVATION,PRESENT
"Genetta maculata (Gray, 1830)",2009-10-25,-4.485225,39.263107,Kwale,Kenyan Coast,1,HUMAN_OBSERVATION,PRESENT
"Ichneumia albicauda (G.Cuvier, 1829)",2009-10-25,-4.485225,39.263107,Kwale,Kenyan Coast,1,HUMAN_OBSERVATION,PRESENT
"Herpestes ichneumon (Linnaeus, 1758)",2009-10-25,-4.485225,39.263107,Kwale,Kenyan Coast,1,HUMAN_OBSERVATION,PRESENT
